name	g1	g2	mean1	mean2	pvalue	fold_change	enriched	qval	Project
120	Secoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
121	Siphoviridae	Control	Disease	0.0667091659837099	0.0302669405511845	0.00863699688916608	2.20402738991402	Control	0.0449123838236636	WengY_2019.UC
122	unknown	Control	Disease	0.81377253789059	0.716502906385863	0.012903853229755	1.13575608785088	Control	0.0479285977105186	WengY_2019.UC
123	Myoviridae	Control	Disease	0.072880725582491	0.0259514959264884	0.00108060436853621	2.80834391161638	Control	0.00936523786064719	WengY_2019.UC
124	Quimbyviridae	Control	Disease	0.0235268791196468	0.0128209130654277	0.11129012409268	1.83503928305141	Control	0.241128602200807	WengY_2019.UC
125	Podoviridae	Control	Disease	0.00570407496778632	0.00314771278919952	0.576336284344132	1.81213323761883	Control	0.78867070489197	WengY_2019.UC
126	Microviridae	Control	Disease	0.0120694500868385	0.00914646921349019	0.240650309482419	1.31957477854265	Control	0.446922003324492	WengY_2019.UC
127	Podoviridae_crAss-like	Control	Disease	0.000385100468126211	0.000189979868794959	0.0119252335930176	2.02705934354466	Control	0.0479285977105186	WengY_2019.UC
128	Inoviridae	Control	Disease	0.00107072575959075	0.000366870218596286	0.053896482568608	2.91854095894606	Control	0.140130854678381	WengY_2019.UC
129	Salasmaviridae	Control	Disease	7.18812356458471e-05	0.000153504467303618	0.944292505258179	2.13552905601013	Disease	0.955441845952613	WengY_2019.UC
130	Gratiaviridae	Control	Disease	5.52490984534045e-05	0.000313024911802212	0.356543579552106	5.66570171396025	Disease	0.545301945197338	WengY_2019.UC
131	Flandersviridae	Control	Disease	0.000545607291017482	0.0138753973307392	0.955441845952613	25.4311068770058	Disease	0.955441845952613	WengY_2019.UC
132	Autographiviridae	Control	Disease	0.000497059489530043	0.0144905398506294	0.0414084806593327	29.1525263189921	Disease	0.119624499682517	WengY_2019.UC
133	Caulimoviridae	Control	Disease	3.89299118763814e-06	7.35359038942228e-06	0.267983021390962	1.88893065383065	Disease	0.464503903744333	WengY_2019.UC
134	Mitoviridae	Control	Disease	2.51857109932306e-06	6.34404306482982e-06	0.722552024353245	2.51890568685354	Disease	0.894588220627827	WengY_2019.UC
135	Metaviridae	Control	Disease	1.71167552666667e-05	7.730534984e-05	0.827996523140205	4.51635538603191	Disease	0.925613572319106	WengY_2019.UC
136	Circoviridae	Control	Disease	5.99197590558018e-05	1.08918669365922e-05	0.0752291913303836	5.50133043349034	Control	0.177814452235452	WengY_2019.UC
137	Herelleviridae	Control	Disease	2.53009964760041e-07	1.4914972e-08	0.224201717402484	16.963489087344	Control	0.446922003324492	WengY_2019.UC
138	Drexlerviridae	Control	Disease	0.000897481494288587	2.34125425282995e-06	0.00469110445278386	383.333631195234	Control	0.0304921789430951	WengY_2019.UC
139	Guelinviridae	Control	Disease	8.86208666666667e-08	6.238788e-08	0.767352194027328	1.42048209791175	Control	0.90687077475957	WengY_2019.UC
140	Chaseviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
141	Schitoviridae	Control	Disease	1.02482260533333e-05	0.000409507243516	0.333780285205458	39.9588417922147	Disease	0.542392963458869	WengY_2019.UC
142	Retroviridae	Control	Disease	0.00171106722108	0.171257478804048	8.91196492286958e-06	100.088106822567	Disease	0.000170314416277396	WengY_2019.UC
143	Rountreeviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
144	Bornaviridae	Control	Disease	8.40819746666667e-06	0.00100247897652	1.3101108944415e-05	119.226383596985	Disease	0.000170314416277396	WengY_2019.UC
145	Ackermannviridae	Control	Disease	1.248978e-08	2.23372052e-07	0.854412528294559	17.8843864343487	Disease	0.925613572319106	WengY_2019.UC
146	Zobellviridae	Control	Disease	4.57015753333333e-07	1.742456e-08	0.711531417761122	26.2282521528999	Control	0.894588220627827	WengY_2019.UC
147	Demerecviridae	Control	Disease	8.699566e-08	1e-09	0.0236320142353455	86.99566	Control	0.076804046264873	WengY_2019.UC
148	Polyomaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
149	Adenoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
150	Smacoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
151	Parvoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
152	Papillomaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
153	Alphaflexiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
154	Betaflexiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
155	Redondoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
156	Tectiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
157	Potyviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
158	Anelloviridae	Control	Disease	1e-09	2.3493844e-07	0.469706369367045	234.93844	Disease	0.678464755752398	WengY_2019.UC
159	Iflaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
160	Secoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.UC
161	Siphoviridae	Control	Disease	0.0739023769080938	0.069038022635514	0.55557849072207	1.07045906135321	Control	0.68690321757899	YangY_2021.old
162	unknown	Control	Disease	0.80479097796249	0.765298196082492	0.0189077043929931	1.05160443612981	Control	0.0907569810863668	YangY_2021.old
163	Myoviridae	Control	Disease	0.0685762469575091	0.0535515753879884	0.661562037441549	1.28056451114024	Control	0.721704040845326	YangY_2021.old
164	Quimbyviridae	Control	Disease	0.0201183309500475	0.0195870924145604	0.322534407404523	1.02712186802632	Control	0.490629177983077	YangY_2021.old
165	Podoviridae	Control	Disease	0.00504891275123072	0.0044161885142891	0.371991242457048	1.143273828754	Control	0.525164106998186	YangY_2021.old
166	Microviridae	Control	Disease	0.00565224717181324	0.00946022748541808	0.00126917218282694	1.67371086186651	Disease	0.0304601323878466	YangY_2021.old
167	Podoviridae_crAss-like	Control	Disease	0.00305594133022136	0.0216000653050606	0.0328724861809282	7.06821989396505	Disease	0.11270566690604	YangY_2021.old
168	Inoviridae	Control	Disease	0.00190084729754112	0.00127730704354019	0.0239627466488409	1.48816786625768	Control	0.0958509865953635	YangY_2021.old
